key,x,y
"INDUSTRIAS VALLS 1, SA ABOCAMENT INDUSTRIAS VALLS 1 (AIGÜES DE PROCÉS I REFRIGERACIÓ-C/CERVANTES)",384289.98,4604345.04
"CASTILLO MATEO, JOSE MANUEL CASTILLO MATEO, JOSÉ MANUEL (SORTIDA SANITÀRIES I DE PROCÉS)",430616.96,4591920.67
"CAMPSA ESTACIONES DE SERVICIO, SA (MARGE DRET) EESS CAMPSA NÚM. 96283 MARGE DRET (SANTA AGNÈS): RIU MOGENT",445145.0,4604679.0
"GRESLAND CERAMIC, SL GRESLAND CERAMIC, SL",493358.0,4687387.0
FUNDACIÓ PRIVADA ONYAR-LA SELVA FUNCIÓ PRIVADA ONYAR-LA SELVA (SORTIDA FOSSA SÈPTICA),486780.0,4643913.0
"CAMPSA ESTACIONES DE SERVICIO, SA (MARGE DRET) EESS CAMPSA NÚM. 96282 ESQUERRE (SANTA AGNÈS): RIU MOGENT",445238.08,4604850.58
"AREAS, SA  (ÀREA DE LA TORDERA) AREAMED 2000, S.A E.S DE TORDERA (SORTIDA TRACTAMENT)",476412.0,4612986.35
CAN SURIOL (JOSEP CAMPS ROVIROSA) JOSEP CAMPS ROVIROSA (CAN SURIOL) (SORTIDA DEPURADORA),398884.78,4574069.88
"PROPERLY, SA -  E.S. AVENIDA DEL MAR PROPERLY, SA E.S. AVENIDA DEL MAR (RASA FILTRANT)",514217.45,4639475.11
"PROPERLY, SA -  E.S. AVENIDA DEL MAR E.S PROPERLY, S.A E.S AVENIDA MAR (RASA HIDROCARBURADES)",514205.45,4639472.11
"IT-3, SA IT-3, SA (SORTIDA AIGÜES RESIDUALS)",436116.14,4614357.66
"PERE ROCA, SA Abocament PERE ROCA,SA - riera de Bell-lloc",510003.41,4635319.13
"ALAMEDA-TORRENT, SLU ALAMEDA-TORRENT, SLU (SORTIDA DEPURADORA SANITÀRIES I NETEJA MAQUINÀRIA)",488572.39,4636299.3
"CAMPING VIDAL PARC, SL AGROPECUARIA GRAU: INFILTRACIÓ",456780.29,4629569.53
CEDIPSA (E.S.BELLATERRA I-II) ES BELLATERRA I (SORTIDA TRACTAMENT),424641.97,4593648.71
CEDIPSA (E.S.BELLATERRA I-II) ES BELLATERRA II (SORTIDA TRACTAMENT),424975.97,4593568.71
"SUREDA NOGUÉ, JOSEP (GARATGE SUREDA) Abocament JOSEP SUREDA NOGUE (GARATGE SUREDA) - torrent d'Esplet",476856.32,4630125.37
AJUNTAMENT DE SANTA COLOMA DE FARNERS AJUNTAMENT DE SANTA COLOMA DE FARNERS (CASTELL DE FARNERS) (SORTIDA DEPURADORA),469558.34,4634307.44
