id,name_ci,name_ind,lat,lon,utm_x,utm_y,edar_name,edar_code,ind_id,capt_id,delete,conca
109,pt0224,pt106,42.07382337,2.602497354,467117.8268,4658049.235,,,,,yes,ter
110,pt0226,pt080,42.11854166,2.68034679,473576.2575,4662987.34,,,,,yes,fluvia
111,pt0228,pt108,42.1180253,2.183368789,432493.4313,4663203.228,,,,,yes,ter
112,pt0230,pt110,42.10269848,2.236238457,436848.7011,4661461.033,,,,,yes,ter
113,pt0232,pt112,42.10816131,2.841409479,486888.1741,4661797.532,,,,,yes,ter
114,pt0234,pt082,42.17589518,2.676770934,473304.7706,4669356.522,,,,,yes,fluvia
115,pt0236,pt114,41.98407617,2.780060261,481780.5687,4648031.614,,,437,,no,ter
116,pt0238,pt116,41.98535623,2.289342505,441131.3832,4648394.572,,,595,,no,ter
117,pt0240,pt118,41.98792765,2.282303464,440550.6805,4648684.937,,,,6,no,ter
118,pt0242,pt120,41.98403762,2.760782709,480183.6364,4648031.614,EDAR SANT GREGORI,ES9171630006010E,,,no,ter
119,pt0244,pt122,41.99081434,2.223555981,435687.2958,4649047.895,,,472,,no,ter
120,pt0246,pt124,42.02148049,2.591425514,466174.1849,4652241.919,,,446,,no,ter
121,pt0248,pt126,42.00370225,2.196227177,433437.0731,4650499.724,,,,,yes,ter
122,pt0250,pt128,42.01672769,2.760660239,480183.6364,4651661.187,,,,,yes,ter
123,pt0252,pt130,42.00569012,2.417092581,451729.2065,4650572.315,,,579,,no,ter
124,pt0254,pt132,41.99003465,2.822980451,485337.3724,4648684.937,,,414,,no,ter
125,pt0256,pt134,41.9749998,2.82477436,485482.548,4647015.334,,,,,yes,ter
126,pt0258,pt136,41.97174758,2.836172447,486426.1899,4646652.377,,,,,yes,ter
127,pt0260,pt138,41.9665281,2.844069989,487079.4803,4646071.645,EDAR QUART,ES9117142000601E,,,no,ter
128,pt0262,pt140,41.96080844,2.630354631,469368.0495,4645490.913,,,,,yes,ter
129,pt0264,pt142,41.98405414,2.290233238,441203.971,4648249.389,,,,,yes,ter
130,pt0266,pt144,41.96452884,2.422723853,452164.7335,4645999.054,,,456,,no,ter
131,pt0268,pt002,41.80608175,2.709889932,475900.9543,4628286.739,,,373,,no,besos
132,pt0270,pt004,41.76450159,2.583454071,465375.7188,4623713.477,,,,,yes,besos
133,pt0272,pt006,41.77037322,2.579922717,465085.3675,4624366.801,,,349,,no,besos
134,pt0274,pt146,41.90633599,2.81621029,484756.6697,4639393.231,,,,,yes,ter
135,pt0276,pt148,41.96466608,3.0385451,503193.9789,4645853.871,,,,,yes,ter
136,pt0278,pt150,41.81166713,3.051561828,504282.7963,4628867.471,,,381,,no,ter
137,pt0280,pt152,41.89849021,2.816232788,484756.6697,4638522.134,,,422,,no,ter
138,pt0282,pt154,41.89784057,2.818859888,484974.4332,4638449.542,,,424,,no,ter
139,pt0284,pt156,41.89195484,2.818001519,484901.8454,4637796.219,,,432,,no,ter
140,pt0286,pt158,41.95159289,3.028027447,502322.9249,4644402.042,,,,,yes,ter
141,pt0288,pt160,41.81232455,3.042823206,503556.918,4628940.062,,,,,yes,ter
142,pt0290,pt162,41.88866421,2.804886548,483813.0279,4637433.262,,,425,,no,ter
143,pt0292,pt008,41.83805441,2.685266198,473868.4951,4631843.72,,,,,yes,besos
144,pt0294,pt010,41.85955537,2.658924109,471690.8601,4634239.238,,,,,yes,besos
145,pt0296,pt164,41.88210616,2.793533262,482869.3861,4636707.348,,,,,yes,ter
146,pt0298,pt012,41.8146106,2.522827488,460367.1585,4629303.019,EDAR ARBÚCIES,ES9170090001010E,346,,no,besos
147,pt0300,pt166,41.97497465,2.809004009,484175.9671,4647015.334,,,434,,no,ter
148,pt0302,pt168,41.86588462,2.881049813,490128.1692,4634892.561,,,430,,no,ter
149,pt0304,pt170,41.88646146,2.262442256,438808.5726,4637433.262,EDAR TARADELL,ES9082780005010E,,,no,ter
150,pt0306,pt172,41.94756159,2.839737421,486716.5412,4643966.493,,,415,,no,ter
151,pt0308,pt174,41.90224792,2.732208646,477788.2379,4638957.683,,,420,,no,ter
152,pt0310,pt176,41.95451424,2.271292453,439607.0387,4644982.773,EDAR VIC,ES9082980001010E,614,,no,ter
153,pt0312,pt178,41.863256,3.131192579,510888.289,4634602.195,,,383,,no,ter
154,pt0314,pt014,41.7925554,2.806925576,483958.2036,4626762.319,,,367,,no,besos
155,pt0316,pt180,41.87206735,2.260858321,438663.3969,4635836.25,,,,,yes,ter
156,pt0318,pt182,41.96641884,2.293057057,441421.7345,4646289.419,,,462,,no,ter
157,pt0320,pt184,41.82800618,2.935315894,494628.6148,4630682.257,,,,,yes,ter
158,pt0322,pt016,41.78914756,2.73704786,478151.1771,4626399.361,EDAR MAÇANET DE LA SELVA,ES9171030006010E,371,,no,besos
159,pt0324,pt186,41.96369429,3.093955579,507785.5994,4645749.525,,,391,,no,ter
160,pt0326,pt188,41.92219956,2.713556268,476248.5261,4641177.857,,,418,,no,ter
161,pt0328,pt190,41.9626245,3.14103184,511686.7551,4645636.096,,,392,,no,ter
162,pt0330,pt018,41.79847186,2.827003521,485627.7237,4627415.642,,,366,,no,besos
163,pt0332,pt192,41.93362252,2.185791299,432498.8925,4642726.977,,,,,yes,ter
164,pt0334,pt020,41.77411908,2.393865767,449624.1594,4624874.941,,,335,,no,besos
165,pt0336,pt194,41.87355932,2.405173552,450640.3891,4635908.842,,,457,,no,ter
166,pt0338,pt022,41.84660289,2.512097299,459496.1045,4632860.001,,,348,,no,besos
167,pt0340,pt196,41.96994153,2.230817981,436267.9985,4646724.968,,,463,,no,ter
168,pt0342,pt198,41.78354112,2.927498889,493975.3243,4625746.038,,,377,,no,ter
169,pt0344,pt200,41.94559965,2.309925895,442800.9033,4643966.493,EDAR FOLGUEROLES,ES9080830001010E,,,no,ter
170,pt0346,pt024,41.78399441,2.406875635,450712.9769,4625963.813,,,,,yes,besos
171,pt0348,pt026,41.76433329,2.751121399,479312.5824,4623640.886,EDAR PANTANS DE MONTBARBAT,ES9117103001000E,,,no,besos
172,pt0350,pt028,41.79977004,2.423331228,452092.1457,4627706.007,,,,,yes,besos
173,pt0352,pt202,41.80601397,2.899511029,491652.5137,4628243.423,,,376,,no,ter
174,pt0354,pt030,41.82248998,2.442882385,453732.7537,4630217.795,,,,,yes,besos
175,pt0356,pt204,41.83360034,2.390682295,449406.3959,4631480.763,,,,,yes,ter
176,pt0358,pt032,41.80537305,2.688921471,474158.8464,4628214.148,,,,,yes,besos
177,pt0360,pt206,41.84548247,2.296138732,441566.9102,4632860.001,,,,20,no,ter
178,pt0362,pt208,41.89947703,2.492442854,457899.1722,4638739.908,,,,,yes,ter
179,pt0364,pt210,41.90557706,3.162602372,513486.2333,4639305.422,,,,,yes,ter
180,pt0366,pt212,41.93758462,2.791603168,482724.2105,4642867.352,,,435,,no,ter
181,pt0368,pt214,41.94936674,2.86099818,488479.0772,4644163.838,,,,,yes,ter
182,pt0370,pt216,41.97316147,2.950624934,495909.1566,4646797.56,,,,,yes,ter
183,pt0372,pt034,41.77458983,2.66985544,472561.9141,4624802.349,,,362,,no,besos
184,pt0374,pt036,41.54636926,2.247173579,437211.6403,4599685.706,,,,,yes,besos
185,pt0376,pt038,41.5509856,2.253212659,437719.7551,4600193.847,,,,,yes,besos
186,pt0378,pt040,41.61500665,2.244633487,437066.4646,4607307.809,,,305,,no,besos
187,pt0380,pt042,41.63069769,2.244450333,437066.4646,4609050.004,EDAR SANTA EULÀLIA DE RONÇANA,ES9081070012010E,,,no,besos
188,pt0382,pt044,41.62181722,2.287249148,440623.2684,4608033.724,,,,,yes,besos
189,pt0384,pt046,41.68042905,2.488935094,457463.6452,4614421.771,,,,,yes,besos
190,pt0386,pt048,41.65781378,2.29295509,441131.3832,4612026.254,,,,,yes,besos
191,pt0388,pt050,41.68422036,2.460123319,455068.2468,4614857.32,EDAR SANTA MARIA DE PALAUTORDERA,ES9082590005010E,,,no,besos
192,pt0390,pt052,41.71654253,2.524426202,460439.7463,4618414.301,,,342,,no,besos
193,pt0392,pt054,41.71849694,2.176230063,431477.2016,4618849.85,EDAR SANT QUIRZE SAFAJA,ES9082390001010E,309,,no,besos
194,pt0394,pt056,41.71979873,2.272205036,439461.8631,4618922.442,,,311,,no,besos
195,pt0396,pt058,41.72653844,2.572353647,464432.077,4619503.173,EDAR RIELLS I VIABREA,ES9171460006010E,354,,no,besos
196,pt0398,pt060,41.72760247,2.511253211,459350.9288,4619648.356,,,341,,no,besos
197,pt0400,pt062,41.72456536,2.420513318,451801.7944,4619357.99,,,337,,no,besos
198,pt0402,pt064,41.73758365,2.409048659,450858.1526,4620809.819,,,,,yes,besos
199,pt0404,pt066,41.74108827,2.619396201,468351.8199,4621100.185,,,350,,no,besos
200,pt0406,pt068,41.73829741,2.569656921,464214.3135,4620809.819,EDAR BREDA,ES9170270002010E,,,no,besos
201,pt0408,pt070,41.74605147,2.402859942,450350.0377,4621753.508,,,336,,no,besos
202,pt0410,pt072,41.73956534,2.559173358,463343.2595,4620955.002,,,612,,no,besos
203,pt0412,pt074,41.74845656,2.160132477,430170.6207,4622189.057,,,,,yes,besos
204,pt0414,pt076,41.75256213,2.397561012,449914.5108,4622479.423,,,,,yes,besos
205,pt0416,pt078,41.75673284,2.605333255,467190.4146,4622842.38,,,,,yes,besos
206,pt0418,pt080,41.76688982,2.524927856,460512.3341,4624003.843,,,,25,no,besos
207,pt0420,pt082,41.74386063,2.491051346,457681.4087,4621463.142,,,,,yes,besos
208,pt0422,pt084,41.54714126,2.26544146,438735.9847,4599758.298,,,,,yes,besos
209,pt0424,pt086,41.55574519,2.281882436,440115.1535,4600701.987,,,314,,no,besos
210,pt0426,pt088,41.58867362,2.320707431,443381.6059,4604331.559,,,607,,no,besos
211,pt0428,pt090,41.60858369,2.080932475,423419.9524,4606727.077,,,604,,no,besos
212,pt0430,pt092,41.62426683,2.37087309,447591.7002,4608251.498,,,,,yes,besos
213,pt0432,pt094,41.60997605,2.178483358,431549.7895,4606799.669,EDAR CALDES DE MONTBUI,ES9080330001010E,,,no,besos
214,pt0434,pt096,41.61898099,2.072943284,422766.6619,4607888.541,,,,,yes,besos
215,pt0436,pt098,41.63926395,2.159808689,430025.445,4610066.284,,,300,,no,besos
216,pt0438,pt100,41.60309214,2.608884134,467408.1781,4605783.389,,,327,,no,besos
217,pt0440,pt102,41.5384686,2.061911202,421750.4322,4598959.792,,,123,,no,besos
218,pt0442,pt104,41.5930646,2.405143025,450422.6256,4604767.108,,,324,,no,besos
219,pt0444,pt106,41.68498869,2.355454792,446357.707,4615002.503,EDAR CÀNOVES I SAMALÚS,ES9080420001010E,,,no,besos
220,pt0446,pt108,41.73057886,2.924940053,493757.5608,4619866.13,,,375,,no,besos
221,pt0448,pt110,41.67385177,2.480266775,456737.7669,4613695.857,,,332,,no,besos
222,pt0450,pt112,41.58626942,2.155271042,429589.918,4604186.377,,,297,,no,besos
223,pt0452,pt114,41.5508618,2.058250562,421460.0809,4600339.03,,,124,,no,besos
224,pt0454,pt116,41.59836641,2.419030612,451584.0309,4605347.84,,,,,yes,besos
225,pt0456,pt118,41.57161619,2.209442417,434090.3636,4602516.773,,,303,,no,besos
226,pt0458,pt120,41.53525492,2.153324677,429372.1545,4598524.243,,,,,yes,besos
227,pt0460,pt122,41.60703488,2.134093162,427847.8101,4606509.303,,,298,,no,besos
228,pt0462,pt124,41.70848117,2.34736768,445704.4165,4617615.795,,,,,yes,besos
229,pt0464,pt126,41.68356835,2.055445744,421387.4931,4615075.095,,,,,yes,besos
230,pt0466,pt128,41.62330003,2.123419427,426976.7561,4608324.089,,,,,yes,besos
231,pt0468,pt130,41.59255156,2.039355292,419935.7365,4604984.883,EDAR MATADEPERA,ES9081200001100E,122,,no,besos
232,pt0470,pt132,41.5900546,2.20376584,433635.9789,4604568.192,,,,,yes,besos
233,pt0472,pt134,41.62982446,2.121588175,426831.5804,4609050.004,,,,,yes,besos
234,pt0474,pt136,41.69321606,2.578680522,464940.1918,4615801.009,,,,,yes,besos
235,pt0476,pt138,41.65715003,2.326090996,443889.7208,4611930.461,,,,,yes,besos
236,pt0478,pt140,41.48780319,2.192202051,432566.0191,4593225.067,,,294,,no,besos
237,pt0480,pt142,41.48776028,2.186115884,432057.9043,4593225.067,,,,,yes,besos
238,pt0482,pt144,41.50231748,2.120704448,426613.8169,4594894.671,,,127,,no,besos
239,pt0484,pt146,41.51203051,2.108395094,425597.5873,4595983.542,,,,,yes,besos
240,pt0486,pt148,41.48159907,2.147937376,428864.0397,4592571.744,,,286,,no,besos
241,pt0488,pt150,41.47469026,2.099344152,424799.1212,4591845.83,,,283,,no,besos
242,pt0490,pt152,41.77121368,2.467254667,455721.5373,4624511.983,,,,,yes,besos
243,pt0492,pt154,41.78094676,2.451451395,454414.9563,4625600.855,,,,,yes,besos
244,pt0494,pt156,41.46162053,2.18818118,432203.0799,4590321.409,,,287,,no,besos
245,pt0496,pt158,41.47260038,2.086519643,423725.8686,4591625.039,,,284,,no,besos
246,pt0498,pt160,41.52562371,2.090807836,424145.8307,4597507.963,,,125,,no,besos
