activitat;Punt2
ISANT SALA, RAMON (PNEUMATICS SERVEI 3);320
GUINART PARERA, MONTSERRAT;611
ENS D'ABSTAMENT D'AIGUA TER LLOBREGAT (PLANTA TRACTAMENT DE CARDEDEU);319
TECNOLOGIAS DEL MEDIO AMBIENTE, SA;325
CASA DE COL├ÆNIES MOGENT (FUNDACIÓ CHAMPAGNAT);325
TURMO VALLÈS, SL;611
AREAS, SA - A.S.DEL MONTSENY;325
CASA COL├ÆNIES LA CARRAL;235
ATL - ENS D'ABASTAMENT D'AIGUA TER-LLOBREGAT (ETAP LLOSA DEL CAVALL);237
GESTORA DE RUNES DEL BAGES, SL;227
AIGUA D' ORA, SL;231
DW PLASTICS NV (SUCURSAL EN ESPAÑA);224
BARCONS GRIFELL, JOSÉ (CAMPING LA RIBERA);236
PUY LLORENS, MONTSERRAT;228
ESTER I FABRIÀS, FRANCESC;229
COMPLEJO TURISTICO CAN PUIG, C.B.;234
CONSELL COMARCAL SOLSONES;235
PALÀ COMAPOSADA, JOSEP M.;227
BAR RESTAURANT GARGALLÀ, SL;225
FUNDACIO CATALANA DE L'ESPLAI;230
ÀREA D'ESPAIS NATURALS - DIPUTACIÓ DE BARCELONA;294
ATLETIC TERRASSA HOCKEY CLUB;292
CAN BONDIA RESTAURANT SL;292
UTE GESTORA DE RUNES DE LA CONSTRUCCIÓ, SA;293
GRAU, SA;294
JUNTA COMP. SUBSECT. 1 Y 2 PLAN PARCIAL CAN BAGES;292
CERÀMIQUES ESTRUCTURALS MANRESANAS, SL;216
AJUNTAMENT DE FONOLLOSA - ST. VICENÇ DE FALS;214
RESIDUS DEL BAGES,S.L.;212
ENDESA DISTRIBUCIÓN, SL - SE CONGOST;213
RED-GOM,SCP;205
LINARES TALLÓ, JORDI;194
GESTORA DE RUNES DEL BAGES, SL;216
LES COMES DE SERAROLS, SL;217
G&P LA ROQUETA 21, S.L.;203
CASA CAL FAINÉ;198
FUNDEL, SL;204
EDAR RAJADELL (RAJADELL I FONOLLOSA);209
COMA COHI, ALFREDO MARIA;210
AMPANS;204
GOLF DEL OLLER, SL;207
CANALS CUSSO, JOSEP;197
CAL PUJOLET, SCP;195
ACABADOS FUNDICION S.L.;204
ESTACIO SERVEI CEDIPSA (AREA SERV. MONTSERRAT);192
AUTEMA, SA;604
COMPAÑIA ESPAÑOLA DISTRIBUIDORA DE PETROLEOS, S.A CEDIPSA;204
MASIA CAN FERMI, CB;195
AUTEMA, SA;196
MASIA CAN FONT, SL;195
ROIG PUJOL, MARIA TERESA;195
AIGÜES DE MANRESA, SA (BARRI LA GUIA);212
CENTRE HIPIC 3 AIRES, SL;208
AUTEMA, SA;604
REPSOL - E.S.SANT PERE DE SALLAVINERA;211
CAMPSA ESTACIONES DE SERVICIO, SA;213
ASSOCIACIO CATALANA DE CASES DE COLONIES;192
BAGESPIN, SL;193
FARRERAS BARCELÓ, AGNÈS;208
SOCIETAT PROTECTORA D'ANIMALS I PLANTES;206
RESIDUS DEL BAGES,S.L.;212
RESTAURANT CAL JEPET, SL;195
AMPANS;204
OWENS-CORNING FIBERGLAS ESPAÑA,SL;197
DOG EDUCAT, SL;213
TAMOIL ESPAÑA, SA;215
BON PREU, SAU (BALENYÀ);315
CENTRE  DE TELECOMUNICACIONS DE COLLSUSPINA;315
BRI-AUTO PLATFORM, SL (RESTAURANT ESTEBANELL);315
CÀRNIQUES AUSA, SL;315
MASAI MARA 2006, SL -RESTAURANT EL PINÓS-;608
RESTAURACIONS AMBIENTALS CATALANES, SL-MONODIP├ÆSIT ST. ANTONI-;315
ROQUET BAUCELLS, JORDI;315
MATAVERA FONT, JOSEP M.;315
LLAR D'INFANTS MUNICIPAL DE DOSRIUS;327
KM5 INTERNATIONAL, SL (PEDRERA EL ROCÀ);327
INDUSTRIAL BREINCO, SA;326
AGÈNCIA CATALANA DE LA JOVENTUT (ALBERG JUV. MAS SILVESTRE);328
OCERANS CIVIT, VALENTI;
ARIDS GARCIA PEDRERA GAR 1 SL;326
DOSRIUS CASASIN, RAMONA;313
TAMAYO AUTODESGUACES, SL;312
S├üNCHEZ REBELLES, MARIO (FINCA MONTMANY);313
DIPUTACIÓ DE BARCELONA - RECTORIA DE VALLCÀRQUERA;313
JUNTA DE COMPENSACIO SAU-5;312
VILADASES, SL - CAMPING GIRONELLA;588
ESTACIÓ DE SERVEI BALLUS, SA;273
UTE OLOST-OLVAN;270
SIRAP PACKAGING IBERICA SLU;271
BALVITEX, SA;269
FIBRAS HILADAS ESTEVA, SA;272
TRACTAMENTS DE SUPERFICIES, SL;273
CLAUDI ROCA, S.L.;271
BALVITEX, SA;269
FIBRAS HILADAS ESTEVA, SA;272
PALAU I FILLS, SA;272
HERCA, SCCL;201
FUNDACIÓ MERCE FONTANILLES - CENTRE ACOLLIDA ESTREP;202
VINS GRAU, SL;199
FUNDACIÓ AMPANS;200
CARBONERES PEDRAFORCA, SA;279
CARBONERES PEDRAFORCA, SA;279
FUNDACIÓ UNIVERSITAT I TECNOLOGÍA;283
CEPSA ESTACIONES DE SERVICIO, SA   -  E.S. CADI;281
GEOGRAF, SA - CH EL COLLET;280
PER-PRA, SL;279
CAL JOANET, SCP-CAMPING MIRADOR AL PEDRAFORCA;279
HOSTAL PEDRAFORCA, SA;589
CARBONERES PEDRAFORCA, SA;590
MOLISPELT, SL - CAMPING L'ESPELT;593
COMSA  EMPRESA CONSTRUCTORA, SA;281
PEDRACAMP, SL;590
HIDRODATA, SA - CH BAGA;282
CENTRO DE INVESTIGACIÓN Y DESARROLLO APLICADO SAL;300
MINYONS ESCOLTES I GUIES SANT JORDI DE CATALUNYA;303
MANC.INTERM.MARTORELLES I STA.M┬¬ MARTORELLES;303
AGRICOLA I RAMADERA DEL VALLES;297
GALP DISTRIBUCION OIL ESPAÑA, SA (MONTCADA NORD);607
DEPARTAMENT DE BENESTAR I FAMILIA - CENTRE EDUCATIU ELS CASTANYERS;303
IRMASOL, SA;298
CENTRE EDUCATIU L'ALZINA;303
AREAS, SA - E.S. VALLES (DIRECCIO GIRONA);298
CAMPSA ESTACIONES DE SERVICIO, SA (ES VALLÈS);298
GALP DISTRIBUCION OIL ESPAÑA, SA (MONTCADA NORD);607
JOSE FUSTE, SA;301
STOCKMEIER QUIMICA, SL;299
PIVEMA, SA;299
CESARI BOHIGAS, JOAN;303
CAN FERRAN, SA;126
INSTITUCIÓ FAMILIAR D'EDUCACIÓ, SA (COL┬ÀLEGI LA VALL);127
TERRASSA NETA, SA;125
CERCLE SABADELLÈS 1856, SCP;127
GESTIONES E INVERSIONES COSMOLAND, SL;126
ASEA BROWN BOVERI, SA;126
ATLETIC TERRASSA HOCKEY CLUB;123
ENERGY EXPRESS, SL;124
DEP.TREBALL, AFERS SOCIALS I FAMÍLIES (RESIDÈNCIA DE GENT GRAN DE TERRASSA);124
SANMY, SA;123
EL VALLÈS GOLF DE TERRASSA;125
BERENGUERA VIDAL, JOAN;124
REAL CLUB DE GOLF - EL PRAT;126
RESTAURANT CAN PAIROT, SL;474
GARECOSAN VOLTREGA, SL;475
PLADELASALA LINARES, JOAQUIM  -GRANJA PLADELASALA-;464
LA PLANA RESIDUS INDUSTRIALS, SL;475
GESTORA DE RUNES DE LA CONSTRUCCIO SA-LA PLANA RESIDUS INDUSTRIALS SL UTE GRC-LPRI MANLLEU;475
FARINES OSONA, SL;475
IQAP MASTERBATCH GROUP, SL;464
AIGÜES DE VIC, SA  -ETAP MIRALTER-;597
FORMIGONS LA VALL D'EN BAS, SLU;597
PLASTIN, SAU;473
CEMEX ESPAÑA OPERACIONES, SLU -PLANTA DE GURB-;597
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;121
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;121
SYNTHESAR, S.A.;171
JUAN MIQUEL PADIAL FERNANDEZ;171
AJUNTAMENT DE CASTELLVÍ DE ROSANES (POL.IND. ROSANES);122
CENTRE PENITENCIARI CAN BRIANS;122
CODORNIU, SA;171
COMUNITAT DE PROPIETARIS PARCELA I;170
AJUNTAMENT DE SANT ESTEVE SESROVIRES - POL.IND. ANOIA;122
JUNTA COMP. SECTOR CAN MARGARIT;122
CARGILL, SLU;170
JUNTA DE COMPENSACIÓ PLAN PARCIAL MASIA BACH;171
JUNTA DE COMPENSACIÓ PLAN PARCIAL MASIA BACH;171
REMAR CATALUNYA;122
METALES BAIX LLOBREGAT, SL.;171
CAMPSA ESTACIONES DE SERVICIO, SA (E.S. SANT ESTEVE SE;122
INDUSTRIA DE ACABADOS ESPECIALES SAMA, SL;171
FLEXIPLAS, S.A.;172
MUDANZAS CORASE, SL;122
AUDI TOOLING BARCELONA, SL;171
BUTANO MARTORELL, SA;121
ELIS MANOMATIC, SA;122
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;121
AJUNTAMENT DE SANT ESTEVE SESROVIRES;122
SOLO PALETS, SL;171
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;121
COMUNITAT PROPIETARIS VINYES DEL TURÓ;171
ELECTRODOMESTICOS DE CATALUNYA, SA;171
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;121
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;121
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;121
AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU;121
FOLCH,S.A.;171
AUTOREC, SL - RECUP. VEHICLES INDUSTRIALS;178
CERAMICA PIEROLA, SL;181
CESPA GESTION DE RESIDUOS, SA;182
CENTROS COMERCIALES CARREFOUR, SA;
CEPAS MUÑOZ, DOMINGO;306
TRANSFORMAD, SA;307
SOREA, SDAD REG ABASTECIMIENTO AGUAS, SA (ALELLA);
DESGUACES LA CABAÑA, SL;316
DESGUACES LA CABAÑA, SL;316
BISER THERMOTECH S.L.;307
COBEGA EMBOTELLADOR, SLU;304
INFRAESTRUCTURES VIARIES DE CATALUNYA, SA;
NETEGES I TRITURATS FORESTALS LLENS, SL;306
BOSCH SISTEMAS DE FRENADO, SLU;307
FORMATGES CAN PUJOL, SL;316
INFRAESTRUCTURES VIARIES DE CATALUNYA, SA;
COBEGA EMBOTELLADOR, SLU;304
FLINT GROUP IBERIA, SL;316
DESGUACES DE AUTOMOVILES, SL;305
ENVERNISSATS AGUILA, SL;305
INFRAESTRUCTURES VIÀRIES DE CATALUNYA, SA;
CERAMICA LA CORONA, SA;307
DESGUACES DE AUTOMOVILES, SL;305
COBEGA EMBOTELLADOR, SLU;304
LA MOIANESA, SL;250
TORRE DE CASANOVA, SCP;250
EDAR SABADELL/RIU RIPOLL;291
DESGUACES TRECE, SL;606
CENTRE DE RECERCA I VALORACIÓ AVANÇADA DE BARBERÀ, SL;291
LLULL 80, SL;291
DESGUACES TRECE, SL;606
FIRTEC, SA;291
AUTOESCOLA FONT, SL;243
HERN├üNDEZ PÉREZ, EMILIO;243
AIGÜES DE MANRESA - BARRI DE VILADORDIS;243
CANTERAS VALSAN, SA (RA-MONTJU├ÅC-AMPLIACIÓ II);242
FUNDICION MARTINEZ, S.A.;243
EDAR SANT PERE SACARRERA;151
CERAMICAS PIERA, SL;181
SUBESTACIÓ PIEROLA;183
